t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true,output_gap_filt,inflation_filt,interest_rate_filt,output_gap_filt_std,inflation_filt_std,interest_rate_filt_std,ess,resampled
71,0.133396,-0.099476,-0.094502,-0.012547,-0.17908,0.08646,-0.0678684350043432,-0.11604804466855861,0.053773262109819184,0.1025882782953127,0.08031049912834368,0.06796592898886196,2000.0,1
72,-0.377129,-0.169621,0.08419,-0.05971,-0.14022,0.037254,-0.136567582325621,-0.08907636312118143,0.006204271552206171,0.10485695459404284,0.07832767479061303,0.06962274928781574,2000.0,1
73,0.005099,0.012329,0.281217,7.3e-05,0.063652,0.053918,-0.0049850572191915445,0.04656571629306465,0.1259441653244769,0.108473603065857,0.08090245708663943,0.07563930743760042,2000.0,1
74,-0.113516,-0.222456,0.099638,-0.069529,-0.011419,0.035644,-0.04964400305648288,-0.05709407702483493,0.06707927442099011,0.10528990672359026,0.08099787548643222,0.07083625201154337,2000.0,1
75,0.023383,-0.424286,0.107586,-0.044918,-0.127624,-0.039756,-0.03819639897993994,-0.12935848704084324,0.019179569703959277,0.1019141883335999,0.07667255270527422,0.06887887866721354,2000.0,1
76,-0.020191,0.14342,0.168136,-0.017604,0.182654,0.149844,0.029417822622889108,0.042975796375814515,0.10001153275058546,0.10677849720218417,0.07907973397910349,0.0732189743535373,2000.0,1
77,-0.391888,0.040713,0.035267,-0.101168,0.032239,0.042589,-0.10885836721827928,-0.006501329654324884,0.034494876208698635,0.10967972926880856,0.08247154591430608,0.0700026050716722,2000.0,1
78,-0.402599,-0.190276,0.103788,-0.150122,0.002643,0.065661,-0.15504928055978828,-0.05679928508801222,0.008100244114625054,0.1027077824779064,0.08425246474694684,0.07422117591714052,2000.0,1
79,-0.202133,-0.13167,-0.241271,-0.208018,-0.126498,-0.159688,-0.20616513574634193,-0.14303871352241362,-0.162756033613325,0.10143234509575677,0.08303950849630948,0.06995222617819566,2000.0,1
80,0.002274,-0.222473,-0.406564,-0.203483,-0.230535,-0.310187,-0.1788199396049205,-0.1954141307447612,-0.31734519612718454,0.10668761564320309,0.08013880255280377,0.06881583869194623,2000.0,1
81,-0.713658,-0.529341,-0.366539,-0.27082,-0.20594,-0.49317,-0.3503488794840578,-0.294163222988927,-0.4438852836612717,0.10889012072401717,0.09378516290005973,0.07361269922513654,2000.0,1
82,-0.321298,-0.144447,-0.403351,-0.390443,-0.007178,-0.540585,-0.2800330979884599,-0.17555144684396412,-0.4594497052307394,0.10807867311112027,0.08326183545837286,0.07151382320086316,1055.4961639289113,0
83,-0.223153,0.102869,-0.457651,-0.461077,0.041779,-0.35854,-0.21570952425462644,-0.0652708440198702,-0.4413858678206342,0.10852638174526658,0.08540904981019613,0.06968094739887166,2000.0,1
84,-0.562731,-0.117514,-0.367166,-0.532126,-0.175573,-0.463966,-0.2877408645709268,-0.09301503954348343,-0.42825363592825316,0.11022817773786908,0.08114271741020257,0.07050738875603112,2000.0,1
85,-0.196003,-0.451337,-0.592484,-0.306044,-0.278285,-0.583788,-0.29602954224049627,-0.2543726754938782,-0.558041775989872,0.10800226578835019,0.0818673455865205,0.06709528508241432,2000.0,1
86,-0.338319,-0.131211,-0.568888,-0.197706,-0.154978,-0.602869,-0.27460925578501355,-0.17730570129179143,-0.5810040857735635,0.10810742559406329,0.07931431679805868,0.07082682621885515,1362.6879031802505,0
87,-0.215191,-0.119013,-0.622632,-0.191317,-0.272374,-0.668654,-0.24454248697217804,-0.15851771515697768,-0.6041718203705947,0.11067459156098733,0.08049126592692728,0.06925223785109196,2000.0,1
88,-0.523007,-0.056056,-0.589328,-0.198824,-0.172617,-0.688763,-0.2935658396154911,-0.12965384064329355,-0.6021012248310803,0.10845931489050017,0.08570340756783154,0.07202339297666027,2000.0,1
89,-0.600657,-0.038866,-0.573611,-0.131788,-0.024573,-0.581883,-0.3457145793498585,-0.11599380879064318,-0.5992411741966054,0.10800900966323919,0.08096008535104729,0.07119928240105412,2000.0,1
90,0.10512,-0.102198,-0.357173,-0.083434,-0.032001,-0.49819,-0.1347197166161272,-0.04752229304556229,-0.4578959372695647,0.10674596956958038,0.08638755770075822,0.07049931281772752,2000.0,1
91,-0.344245,-0.122927,-0.416187,-0.147246,-0.028525,-0.447128,-0.18941145741874546,-0.08819456574044233,-0.4405886774625327,0.1087076345482029,0.08257736466243654,0.07027889720654287,1164.2839910919588,0
92,-0.01431,0.236285,-0.177577,0.076795,0.166112,-0.239995,-0.043960301019488085,0.08443029703813044,-0.2527890022502023,0.1060863243758527,0.08962539173057701,0.07230600845374026,2000.0,1
93,-0.284478,-0.001077,-0.232374,-0.00719,-0.030342,-0.149048,-0.11967038374654629,0.0021981150862115375,-0.2314250238346685,0.10814367519887987,0.08371539852130291,0.07214094133537098,1130.5091146283066,0
94,-0.26219,0.133195,0.032751,0.019804,0.038784,-0.183115,-0.07891897650196196,0.08248406499930197,-0.08417687579676429,0.09980809317899193,0.07986603733582755,0.07108605504251995,2000.0,1
95,0.0758,0.117786,-0.083915,0.110567,0.098004,-0.130898,-0.027782926887482205,0.04902485534294535,-0.057236022298140135,0.10320374123330434,0.08191015070677106,0.07067941644021584,1273.903023781931,0
96,-0.093557,0.213896,0.025217,0.052358,0.091081,-0.046082,-0.01515551821871141,0.09336017893415302,0.01266238442649019,0.10459536795335139,0.08452758332595511,0.0697352261467183,2000.0,1
97,0.093499,0.054752,-0.186421,0.017905,0.040563,-0.025602,-0.03527449775702469,-0.010765965444367904,-0.07032453163840073,0.10419163964766877,0.08124543379647041,0.07069058046498304,2000.0,1
98,0.121879,0.294546,-0.136389,0.031371,0.176842,-0.054119,0.015373308756894575,0.0632044021012342,-0.05832079961443221,0.10317639470411435,0.08001019107966115,0.06875284068131264,2000.0,1
