section,t,y_obs,h_true,h_mean,h_q05,h_q95,vol_mean,vol_q05,vol_q95,ess,parameter,true_value,post_mean,post_std,ci_low,ci_high,value
filtered,123.0,0.92447537,-1.09381888,-1.1386890450747686,-1.2415577685763532,-1.035972644368484,0.5658962493948907,0.5375256042568473,0.595718926978324,845.3889936701089,,,,,,,
filtered,124.0,0.14165483,-1.2667393,-1.1434015583502557,-1.2382620740982586,-1.0430409511981797,0.5645644222804052,0.5384120945394234,0.5936172808556696,991.520926308974,,,,,,,
filtered,125.0,0.72517303,-1.20750379,-1.1539345682295394,-1.2465300342321801,-1.057255813719767,0.5615989566356474,0.5361909040147698,0.589413144838494,895.7068132899623,,,,,,,
filtered,126.0,0.14312848,-1.34930724,-1.15810946140518,-1.253508085027459,-1.0581223464327834,0.5604278715239489,0.5343233801462762,0.5891578272670028,990.7015423200745,,,,,,,
filtered,127.0,-0.00659454,-1.22222739,-1.1601281586326033,-1.2517786409626195,-1.0647183311426793,0.5598624898103653,0.534785621171722,0.587217989799648,996.8901877589146,,,,,,,
filtered,128.0,0.03821491,-1.27198398,-1.162304610166712,-1.252605202821447,-1.061749066626508,0.5592535644071961,0.5345646501378694,0.5880904400434709,996.2328453916286,,,,,,,
filtered,129.0,0.23072328,-1.47005883,-1.1624652316633735,-1.2552937115697804,-1.0665253979046405,0.559208652138425,0.533846542036761,0.5866876583661073,983.6343775683816,,,,,,,
filtered,130.0,0.15821547,-1.49591519,-1.1655178398489896,-1.2630577125081381,-1.0711487249589693,0.5583557807200717,0.5317781668243986,0.5853330002645379,990.9166673408472,,,,,,,
filtered,131.0,0.31379816,-1.56433681,-1.170041667407705,-1.2628257697394345,-1.0724531470103493,0.5570942553545376,0.53183984145075,0.5849513640952522,974.8990410775466,,,,,,,
filtered,132.0,-0.18502255,-1.39549934,-1.1690365810774972,-1.2655613919891646,-1.071096720494882,0.5573742896236451,0.5311128822837247,0.5853482204269118,990.5567512279994,,,,,,,
filtered,133.0,-0.06674643,-1.3308709,-1.1715732135224473,-1.2780982459233845,-1.0713574333299716,0.556667810884053,0.5277940527573615,0.585271921503016,995.9188248954606,,,,,,,
filtered,134.0,-0.32284529,-1.32093211,-1.1683955198960962,-1.2703617600239334,-1.0659266786955883,0.5575529737692769,0.5298396422486804,0.5868633152424708,976.2518672598449,,,,,,,
filtered,135.0,-0.12890631,-1.26383001,-1.1676930427174401,-1.2724102015179626,-1.064843328259528,0.5577488422855363,0.5292972473079898,0.587181290668638,994.3227106950959,,,,,,,
filtered,136.0,0.19729748,-0.94193986,-1.1707073519895053,-1.267354130979838,-1.0699283407598394,0.556908861681477,0.5306370222025575,0.5856902748288868,987.0256997869369,,,,,,,
filtered,137.0,-0.5482527,-0.88580468,-1.1591688766848052,-1.2487974335761878,-1.0613250016168276,0.5601310872102374,0.535583369008946,0.5882151475531014,934.9260679181745,,,,,,,
filtered,138.0,0.93639464,-1.05609226,-1.1664676902414137,-1.2636569888690103,-1.0640583578341754,0.5580906664510633,0.5316188496520415,0.587411795874369,830.7093986485314,,,,,,,
filtered,139.0,0.17123382,-1.01499711,-1.1669310485950815,-1.262212336795868,-1.0625226603879345,0.5579613834415302,0.5320029905094464,0.5878630124826558,989.1515853085547,,,,,,,
filtered,140.0,0.88513165,-1.2762351,-1.1761040276719683,-1.2762773240098553,-1.068876161700992,0.5554081590378053,0.5282748074565916,0.5859984814149799,852.5280605410347,,,,,,,
filtered,141.0,-0.65253658,-1.19978499,-1.1680910324887512,-1.2680043115257775,-1.0575034828378465,0.557637864160847,0.5304645453049617,0.5893401596407489,903.3636472573182,,,,,,,
